tweet_id,tweet_time,tweet_author,tweet_author_id,tweet_language,tweet_url,label,disaster type,location,text,relevance
'503866345822244864',Mon Aug 25 11:27:52 +0000 2014,NewsYouN2Know,2420642647.0,en,https://twitter.com/NewsYouN2Know/status/503866345822244864,collateral_damages,Earthquake,"Sacramento, California","Â_ USA 592 Earthquake Earthquake rattles, doesn t wreck Napa wineries news24lhot Georgia USA Augusta-Richmond... http://t.co/S8EMU5FrXH",Relevant
'503866373961809920',Mon Aug 25 11:27:59 +0000 2014,debbyxme,2300611952.0,en,https://twitter.com/debbyxme/status/503866373961809920,crisis_specific_information,Earthquake,California Central Valley,â€¢ â€¢ Earthquake #Earthquake California Earthquake San Francisco 428 â€¢ Northern California Struâ€_... http://t.co/WG0ufzf2W1 #Earthquake,Relevant
'503866427322159104',Mon Aug 25 11:28:12 +0000 2014,StluciaMirror,1098312948.0,en,https://twitter.com/StluciaMirror/status/503866427322159104,crisis_specific_information,Earthquake,California Central Valley,WCVB Boston: California quake: Recovering after 6.0 tremor. http://t.co/9LgBex6FSc,Relevant
'503866453280317440',Mon Aug 25 11:28:18 +0000 2014,rockermom53,14522779.0,en,https://twitter.com/rockermom53/status/503866453280317440,non_informative,Earthquake,"Santa Ana, California",I don't know. CALIFORNIA. if u had a winery the first thing I'd do is make the wine storage earthquake proof.  But that's just me.,Not Relevant
'503866484461170688',Mon Aug 25 11:28:25 +0000 2014,1310news,190738551.0,en,https://twitter.com/1310news/status/503866484461170688,non_informative,Earthquake,"San Diego, California","NOW: Possible #Timmies, #BurgerKing merger, #Ottawa stabbing, Ottawa drowning, #Napa #quake LISTEN: http://t.co/wiW3aVkxBG  #Ottnews",Not Relevant
'503866526676819969',Mon Aug 25 11:28:36 +0000 2014,WhatIsNewsToday,2659360682.0,en,https://twitter.com/WhatIsNewsToday/status/503866526676819969,collateral_damages,Earthquake,California Central Valley,California quake damages historic buildings - http://t.co/bTKumsLzgf #News,Relevant
'503866614161211392',Mon Aug 25 11:28:56 +0000 2014,feedsynbot,2459920208.0,en,https://twitter.com/feedsynbot/status/503866614161211392,crisis_specific_information,Earthquake,"San Francisco, California","California wine country rocked by 6.0 quake, dozens hurt - Reuters: ReutersCalifornia wine country rocked by 6... http://t.co/MdNt9Ibdqz",Relevant
'503866635745099776',Mon Aug 25 11:29:02 +0000 2014,talktopics,51516140.0,en,https://twitter.com/talktopics/status/503866635745099776,collateral_damages,Earthquake,"Long Beach, California",90% Of CA Homes Don't Have Quake Insurance. There Are Reasons http://t.co/mo4N9W8iv1,Relevant
'503866707568373760',Mon Aug 25 11:29:19 +0000 2014,bingwifel,256922485.0,en,https://twitter.com/bingwifel/status/503866707568373760,crisis_specific_information,Earthquake,"San Diego, California",Earthquake Mag 2.8 Saturday 8/23/14 8:24pm UTC Central California #PocketWeather http://t.co/Ns8PlEEKfS http://t.co/vu3AD86L36,Relevant
'503866815203012608',Mon Aug 25 11:29:44 +0000 2014,luismorozcov,1037506849.0,en,https://twitter.com/luismorozcov/status/503866815203012608,collateral_damages,Earthquake,"San Francisco, California",California begins quake clear-up http://t.co/doxn3OaY14,Relevant
'503866885629554688',Mon Aug 25 11:30:01 +0000 2014,KAMCNews,344171667.0,en,https://twitter.com/KAMCNews/status/503866885629554688,collateral_damages,Earthquake,"San Diego, California",Napa Valley Wineries Picking Up the Pieces After Earthquake... http://t.co/YhNpHSj9gP,Relevant
'503866910166253568',Mon Aug 25 11:30:07 +0000 2014,marcaross,18789002.0,en,https://twitter.com/marcaross/status/503866910166253568,collateral_damages,Earthquake,"Santa Ana, California",B.R. Cohn Winery after Napa earthquake. http://t.co/ANvGM0L1Me http://t.co/gjruEZw3mD,Relevant
'503866926330679296',Mon Aug 25 11:30:11 +0000 2014,News10_CA,18655359.0,en,https://twitter.com/News10_CA/status/503866926330679296,casualties_and_public_impact,Earthquake,"Long Beach, California",Scores injured in magnitude 6.1 #NapaQuake -&gt; http://t.co/6ePr1rkktR #earthquake,Relevant
'503867001794600960',Mon Aug 25 11:30:29 +0000 2014,SFranciscoTNews,2257905582.0,en,https://twitter.com/SFranciscoTNews/status/503867001794600960,collateral_damages,Earthquake,"San Jose, California",N. California Earthquake Damage Could Reach $1B http://t.co/dmPGYSYbID,Relevant
'503867092547141632',Mon Aug 25 11:30:50 +0000 2014,LS_Disasters,79506638.0,en,https://twitter.com/LS_Disasters/status/503867092547141632,collateral_damages,Earthquake,"Beverly Hills, California","Disaster News: PG&amp;E says over 20 #gas-distribution outages remain after Sunday's mag 6.0 #Earthquake near #Napa, California.",Relevant
'503867097060225024',Mon Aug 25 11:30:52 +0000 2014,Tombenson1,44342211.0,en,https://twitter.com/Tombenson1/status/503867097060225024,collateral_damages,Earthquake,"Los Angeles, California",M-C: CA 'Quake knocks Napa stations off-air. http://t.co/g0Kv1IgSME,Relevant
'503867402023481345',Mon Aug 25 11:32:04 +0000 2014,RommelJGuzman,1028360700.0,en,https://twitter.com/RommelJGuzman/status/503867402023481345,casualties_and_public_impact,Earthquake,"San Jose, California","3 Critically Injured and 120 Sent to Hospital, After 6.0 Quake Rattles California's Napa Region http://t.co/ScSeLJYVYv via @mashable",Relevant
'503867406323056640',Mon Aug 25 11:32:05 +0000 2014,janinebucks,2285315834.0,en,https://twitter.com/janinebucks/status/503867406323056640,crisis_specific_information,Earthquake,"San Diego, California",Â_ USA http://t.co/SutuktkvTx 823 earthquake The Bay Area just got hit with its largest earthquake in 25 years janinebucks Alabama USA Montgâ€_,Relevant
'503867483795619840',Mon Aug 25 11:32:24 +0000 2014,BayArea411,2282778445.0,en,https://twitter.com/BayArea411/status/503867483795619840,crisis_specific_information,Earthquake,"Santa Ana, California",6.0-magnitude quake shakes San Francisco; largest Bay Area quake since 1989 - Dallas Morning News http://t.co/n6jLWLk5XF #BayArea,Relevant
'503867552536489985',Mon Aug 25 11:32:40 +0000 2014,RogerSixtyNine,239321900.0,en,https://twitter.com/RogerSixtyNine/status/503867552536489985,sympathy_and_emotion,Earthquake,"Long Beach, California","my home away from home on many occasions &gt; please let the damage be buildings, not people. http://t.co/2uvLyBZgJc #earthquake #sonoma #napa",Relevant
'503867580495327232',Mon Aug 25 11:32:47 +0000 2014,IndyWorld,25080738.0,en,https://twitter.com/IndyWorld/status/503867580495327232,crisis_specific_information,Earthquake,"San Jose, California",California earthquake: Kids skateboard on fissured streets as clean-up operation begins http://t.co/IPA335aSUB,Relevant
'503867657628962817',Mon Aug 25 11:33:05 +0000 2014,Marma0408,290302869.0,en,https://twitter.com/Marma0408/status/503867657628962817,sympathy_and_emotion,Earthquake,"San Jose, California",That San Francisco earthquake was much worse that I imagined.  Hope everybody's OK!,Relevant
'503867696455647232',Mon Aug 25 11:33:14 +0000 2014,erinpasko,109722490.0,en,https://twitter.com/erinpasko/status/503867696455647232,non_informative,Earthquake,"Santa Ana, California",Earthquake in California.... Sweet,Not Relevant
'503867814705659904',Mon Aug 25 11:33:43 +0000 2014,Auriandra,35298247.0,en,https://twitter.com/Auriandra/status/503867814705659904,non_informative,Earthquake,"Modesto, California",New list of things to blame Obama for: #Ebola #Golfing #Methane #BÃ¡rÃ°arbunga #Netanyahu #NapaQuake #OccularOrbit #Yazidis #CAdrought â€“ #tcot,Not Relevant
'503867893038473216',Mon Aug 25 11:34:01 +0000 2014,oghoodniga69,309293580.0,en,https://twitter.com/oghoodniga69/status/503867893038473216,crisis_specific_information,Earthquake,California Central Valley,The 1989 earthquake in San Francisco California was fucking crazy...,Relevant
'503867895240073217',Mon Aug 25 11:34:02 +0000 2014,rejer1956,2395174262.0,en,https://twitter.com/rejer1956/status/503867895240073217,crisis_specific_information,Earthquake,"Los Angeles, California",Earthquake Rocks Napa Valley: http://t.co/bc4Et4JCiB via @YouTube,Relevant
'503867944213184512',Mon Aug 25 11:34:13 +0000 2014,CBSThisMorning,17134268.0,en,https://twitter.com/CBSThisMorning/status/503867944213184512,collateral_damages,Earthquake,"Modesto, California",Billions of dollars of wine rocked in California earthquake: http://t.co/Px7LolIbK0,Relevant
'503868013762715649',Mon Aug 25 11:34:30 +0000 2014,Woldeselassie1,1097790150.0,en,https://twitter.com/Woldeselassie1/status/503868013762715649,crisis_specific_information,Earthquake,California Central Valley,California quake: Recovering after 6.0 tremor http://t.co/kpnsSOPcXc,Relevant
'503868106041610241',Mon Aug 25 11:34:52 +0000 2014,RommelJGuzman,1028360700.0,en,https://twitter.com/RommelJGuzman/status/503868106041610241,crisis_specific_information,Earthquake,"Beverly Hills, California",What Napa Looks Like After the Quake http://t.co/ioEyDyToUW via @mashable,Relevant
'503868128103653376',Mon Aug 25 11:34:57 +0000 2014,_DetroitNews_,2404674086.0,en,https://twitter.com/_DetroitNews_/status/503868128103653376,collateral_damages,Earthquake,"Long Beach, California","#Detroit #News Earthquake's timing left many fumbling in dark in California's wine country: Napa, Calif. â€” A p... http://t.co/ANtz7l0NMj",Relevant
'503868153253089280',Mon Aug 25 11:35:03 +0000 2014,CBSNews,15012486.0,en,https://twitter.com/CBSNews/status/503868153253089280,crisis_specific_information,Earthquake,"San Francisco, California","California quake; journalist freed in Syria; more news you should know -- This morning from CBS News: Aug. 25, 2014 - http://t.co/zc6zKax2tH",Relevant
'503868161159331840',Mon Aug 25 11:35:05 +0000 2014,bobpockrass,25415355.0,en,https://twitter.com/bobpockrass/status/503868161159331840,collateral_damages,Earthquake,"San Francisco, California",From Sunday: Sonoma Raceway escapes earthquake damage; http://t.co/TSZjgsHIHE  #nascar,Relevant
'503868170290331648',Mon Aug 25 11:35:07 +0000 2014,Brynjo,47101722.0,en,https://twitter.com/Brynjo/status/503868170290331648,crisis_specific_information,Earthquake,"Bakersfield, California","Pretty interesting ""event"" study using ""big data""... https://t.co/Om7HE2ueQA",Relevant
'503868176086478849',Mon Aug 25 11:35:09 +0000 2014,joefryer,27242124.0,en,https://twitter.com/joefryer/status/503868176086478849,crisis_specific_information,Earthquake,"Sacramento, California",Our extensive coverage of the #napaquake from @NBCNightlyNews -- http://t.co/mOHvGFXc6j http://t.co/pwVGNCrBcL,Relevant
'503868183518797824',Mon Aug 25 11:35:11 +0000 2014,SanFranNewz,198587357.0,en,https://twitter.com/SanFranNewz/status/503868183518797824,collateral_damages,Earthquake,"San Francisco, California","Napa earthquake: Residents, many of them seniors, flee from devastating mobile home fire #SanFrancisco http://t.co/Ma6FZ5zJ7G",Relevant
'503868275726376960',Mon Aug 25 11:35:33 +0000 2014,AceNewsServices,14761622.0,en,https://twitter.com/AceNewsServices/status/503868275726376960,crisis_specific_information,Earthquake,"Beverly Hills, California",â€˜UNITED STATES: â€˜ Napa Valley Suffers Worst Earthquake Since October 17 1989 As Residents Remember â€˜:... http://t.co/HScaD54MEb #ANS2014,Relevant
'503868704782708737',Mon Aug 25 11:37:15 +0000 2014,SamNBCBayArea,347272439.0,en,https://twitter.com/SamNBCBayArea/status/503868704782708737,crisis_specific_information,Earthquake,"San Diego, California","Some interesting #mathchat (I know, it's early for that!) from @Christina_Loren who breaks down #napaquake in TNT equivalent @nbcbayarea",Relevant
'503868821736681472',Mon Aug 25 11:37:43 +0000 2014,ZOLTAR328,791826559.0,en,https://twitter.com/ZOLTAR328/status/503868821736681472,collateral_damages,Earthquake,"Irvine, California",Some Napa Valley wineries hit hard by earthquake http://t.co/rP70YRjxW3 #CNN #USA,Relevant
'503868861427769344',Mon Aug 25 11:37:52 +0000 2014,jjamesjoiner,397618548.0,en,https://twitter.com/jjamesjoiner/status/503868861427769344,non_informative,Earthquake,California Central Valley,"#Napaquake unleashes tsunami of wine, via @sfgate: http://t.co/zlkeYbCWiS  http://t.co/4b3WciJbJq",Not Relevant
'503868877185380352',Mon Aug 25 11:37:56 +0000 2014,HillbillyTimes,919927818.0,en,https://twitter.com/HillbillyTimes/status/503868877185380352,crisis_specific_information,Earthquake,"San Jose, California","Violent quake rocks Bay Area: Are more aftershocks to come? -  Bridewell, who said he had to climb over fallen... http://t.co/cjUedSmsUL",Relevant
'503868895691014144',Mon Aug 25 11:38:00 +0000 2014,nicoleewayne,2285361511.0,en,https://twitter.com/nicoleewayne/status/503868895691014144,general_awareness,Earthquake,"Bakersfield, California",Â_ http://t.co/sCG05Qwb6y 821 Â_ Napa Rocked by Magnitude-6.0 Earthquake State of Emergency Declared Â_ An earthquake with a magnitude of 6.1 â€_,Relevant
'503868977496752128',Mon Aug 25 11:38:20 +0000 2014,Drsantagomez,2197742483.0,en,https://twitter.com/Drsantagomez/status/503868977496752128,crisis_specific_information,Earthquake,"Irvine, California",Earthquake's timing left many fumbling in dark in California's wine country http://t.co/YaWUFJ7TCw,Relevant
'503869044077129728',Mon Aug 25 11:38:36 +0000 2014,WebSummitHQ,74991835.0,en,https://twitter.com/WebSummitHQ/status/503869044077129728,crisis_specific_information,Earthquake,"Los Angeles, California",A Real-Time Sleep Chart Shows The Napa Valley Earthquake Woke Up Almost Everyone There: http://t.co/VTODs6G8Qh via @businessinsider,Relevant
'503869050322038784',Mon Aug 25 11:38:37 +0000 2014,KennyG1423,128257341.0,en,https://twitter.com/KennyG1423/status/503869050322038784,casualties_and_public_impact,Earthquake,"Irvine, California","120 injured, 3 critical after Napa, California quake http://t.co/9DdnvSFSsi via @wusa9",Relevant
'503869051161296896',Mon Aug 25 11:38:37 +0000 2014,Mellynjess,23676863.0,en,https://twitter.com/Mellynjess/status/503869051161296896,crisis_specific_information,Earthquake,"San Jose, California",Scientists: Napa quake should be a 'wake-up call' http://t.co/IavJft2yVv,Relevant
'503869162360274945',Mon Aug 25 11:39:04 +0000 2014,ThomasLocicero,616772088.0,en,https://twitter.com/ThomasLocicero/status/503869162360274945,crisis_specific_information,Earthquake,"Modesto, California",Billions of dollars of wine rocked in California earthquake http://t.co/WaE1YtKxY8,Relevant
'503870722092310528',Mon Aug 25 11:45:16 +0000 2014,tvseanb,507939974.0,en,https://twitter.com/tvseanb/status/503870722092310528,collateral_damages,Earthquake,"Sacramento, California","At it's peak 70,000 customers were without power from the #Napa Quake @CBSSacramento @GoodDaySac",Relevant
'503870730308972544',Mon Aug 25 11:45:18 +0000 2014,igoracho,40807023.0,en,https://twitter.com/igoracho/status/503870730308972544,crisis_specific_information,Earthquake,"Santa Ana, California",RT @SeismoSocietyAm: IRIS has posted  a Teachable Moment presentation on the South Napa California earthquake. http://t.co/aNmaGIJUhz,Relevant
'503870731831111680',Mon Aug 25 11:45:18 +0000 2014,teapartymobile,175511453.0,en,https://twitter.com/teapartymobile/status/503870731831111680,collateral_damages,Earthquake,"San Jose, California",Strong 6.0 #California #EarthQuake Surprises as it Hits #Napa #Vineyards #Retailers #Businesses #Homes  http://t.co/cOW9tiqLLS $TVIX #VIX,Relevant
'503870746134077440',Mon Aug 25 11:45:22 +0000 2014,PRWeekUS,15580384.0,en,https://twitter.com/PRWeekUS/status/503870746134077440,crisis_specific_information,Earthquake,"San Francisco, California","Happening Monday: News on @MTV, @BurgerKing and @TimHortons, the Napa earthquake, Ferguson, @Roche, and @NBCNews: http://t.co/WgzJrz9PP3",Relevant
'503870766387953664',Mon Aug 25 11:45:26 +0000 2014,bpulsetech,1891949672.0,en,https://twitter.com/bpulsetech/status/503870766387953664,crisis_specific_information,Earthquake,"San Francisco, California",A Real-Time Sleep Chart Shows The Napa Valley Earthquake Woke Up Almost Everyone There http://t.co/bzAY6Itzfs  #bpulse #tech,Relevant
'503870772213870592',Mon Aug 25 11:45:28 +0000 2014,CBSDenver,16313592.0,en,https://twitter.com/CBSDenver/status/503870772213870592,collateral_damages,Earthquake,"Santa Ana, California",Major cleanup after earthquake in California: http://t.co/E2vcOt8D5u #CBS4Mornings,Relevant
'503870779709460481',Mon Aug 25 11:45:30 +0000 2014,ErnestRhykensei,622998503.0,en,https://twitter.com/ErnestRhykensei/status/503870779709460481,collateral_damages,Earthquake,"Long Beach, California",RT @MobilePunch: California begins clear-up after San Francisco quake http://t.co/PUcsutFDZC,Relevant
'503870846172401664',Mon Aug 25 11:45:45 +0000 2014,wbtradio,15637387.0,en,https://twitter.com/wbtradio/status/503870846172401664,collateral_damages,Earthquake,"San Diego, California",Damages from Northern California Earthquake Could Reach $1 Billion http://t.co/CaCsZNxAmc #NationalNews http://t.co/axVa3DQ3Qa,Relevant
'503870909900685312',Mon Aug 25 11:46:01 +0000 2014,News24lHOT,2291824746.0,en,https://twitter.com/News24lHOT/status/503870909900685312,casualties_and_public_impact,Earthquake,California Central Valley,"â™_ http://t.co/EwX7SepzpZ 8 â™_ earthquake â™_ Dozens injured, 3 critically, after strong earthquake in California http://t.co/t4dKZWu3vp",Relevant
'503870913818152960',Mon Aug 25 11:46:01 +0000 2014,nicoleewayne,2285361511.0,en,https://twitter.com/nicoleewayne/status/503870913818152960,crisis_specific_information,Earthquake,"Irvine, California",Massachusetts USA Cambridge Â» http://t.co/mpuIVzhInI  #earthquake 14 The Bay Area just got hit with its largest earthquake in 25 years eartâ€_,Relevant
'503871018448867328',Mon Aug 25 11:46:26 +0000 2014,RestoringHomes,1337342839.0,en,https://twitter.com/RestoringHomes/status/503871018448867328,crisis_specific_information,Earthquake,California Central Valley,#California Lacks #Earthquake #EarlyWarningSystem #News http://t.co/JJaR8PFFOw,Relevant
